gene,len
RNA5SP498,119
CD99P1,58190
CRLF2,22233
AKAP17A,10916
ASMT,28022
ELOCP5,332
CDY10P,1566
CSF2RA,56580
USP9YP3,12082
C1R,12326
USP9YP8,3872
CDY11P,1650
OFD1P16Y,639
ASMTL-AS1,12598
LINC00106,7845
LINC02968,105577
GRK1,6384
LINC00552,2578
LINC03112,43270
C1RL,19651
GTPBP6,15452
AMD1P2,991
DPH3P2,249
VAMP7,62424
ELOCP24,333
TRPC6P1,879
DDX11L16,13773
WASH6P,4884
WASIR1,2270
C1RL-AS1,14859
IL9R,15321
RBP5,13153
TSPY24P,2011
ZNF92P1Y,1190
SERBP1P2,1163
TSPY12P,1809
DUX4L19,1266
OFD1P3Y,9394
RBMY2HP,4281
ELOCP35,335
SLC9B1P1,45108
USP12PY,1063
KDM5DP1,297
DUX4L17,1266
RNU6-485P,106
PRY,24240
CLSTN3,29247
ZNF736P6Y,1212
TUSC2P1,1236
PUDPP1,107412
CDRT15P10,585
USP9Y,323189
PRY2,24251
OFD1P8Y,33036
RNF19BPY,1549
TSPY23P,2171
TUBB1P2,2202
ACTR3BP1,1377
RPS24P1,705
RCC2P2,1277
ZNF736P8Y,668
EIF1AY,17378
PEX5,29889
RBMY3AP,10705
CDY3P,1617
TSPY25P,2169
USP9YP22,2109
TSPY16P,467
USP9YP4,14982
ELOCP4,332
RBMY1A3P,11739
TTTY20,4952
TSPY8,2802
BPY2,31646
FAM197Y7,7878
TSPY4,2820
MTND1P12,146
CTBP2P1,244
MTND6P1,423
PABPC1P5,2066
TSPY9,2814
FAM197Y2,1991
FAM197Y4,1992
TSPY22P,2026
RCC2P1,1475
FAM197Y8,7890
SHROOM2P1,7110
DUX4L18,1266
ZNF736P11Y,1212
OFD1P9Y,33092
BPY2DP,4643
CHEK2P1,6168
RBMY2UP,5283
ZNF886P,11019
ELOCP8,331
TTTY25P,2048
ASS1P6,1233
SNX18P1Y,510
MED14P1,15419
ZNF885P,6745
ARSFP1,5712
ZNF736P7Y,819
SURF6P1,826
ANKRD20A6P,203
RBMY2KP,12739
TSPY21P,2165
TTTY19,811
TTTY4,36829
MXRA5Y,30178
DUX4L16,1263
MTCYBP1,1118
USP9YP17,8358
TTTY17A,1131
AGPAT5P1,1018
FAM41AY1,14060
ELOCP15,331
TRIM60P3Y,1017
MTND1P1,367
PRRC2CP1,158
ZNF736P10Y,1109
CDY12P,1014
MTND2P3,469
CDY13P,1014
RBMY1KP,7249
ARSDP1,33232
TTTY5,2078
CDY4P,1857
RBMY1D,14450
USP9YP24,8358
UBE2V1P3,416
FAM8A4P,1212
TRIM60P8Y,1069
MED13P1,170
CYCSP46,203
RNU6-303P,105
RN7SL702P,291
RNA5SP520,112
RNA5SP521,115
RNU6-109P,106
RNU6-184P,106
HSFY2,42295
GPM6BP2,143
USP9YP2,3148
ELOCP14,330
PRYP6,342
XKRYP2,491
USP9YP10,3380
RNU1-41P,161
OFD1P7Y,19016
MTCYBP2,170
ZNF839P1,1223
CD24P4,242
RNU6-255P,104
GAPDHP19,1004
CLUHP1,4573
TAF9P1,889
CDY5P,1579
ELOCP36,328
ACTG1P2,1124
USP9YP23,2605
USP9YP27,1169
RNU1-128P,159
TRAPPC2P3,2713
ELOCP6,327
CDY6P,1609
USP9YP7,2051
USP9YP6,8931
CDY7P,1911
USP9YP34,8911
USP9YP32,2051
CDY8P,1609
ELOCP12,327
TRAPPC2P8,2788
USP9YP15,1168
RNU1-95P,159
USP9YP16,2604
ACTG1P11,1124
ELOCP26,328
CDY9P,1579
TAF9P2,888
CLUHP2,4583
RNA5SP522,115
RNA5SP523,112
TUBB1P1,2177
ELOCP13,328
OFD1P4Y,18987
RNU1-48P,161
USP9YP5,3380
XKRYP1,491
PRYP5,265
ELOCP7,330
USP9YP1,3148
GPM6BP1,143
RAB9AP4,608
TRAPPC2P7,670
KDM5D,41074
OR4C12,1062
OR4C48P,897
OR4C49P,899
OR4C45,920
HSFY1,42272
TGIF2LY,974
RBMY1F,14440
CDY2A,1959
ZNF736P3Y,1948
TRIM60P9Y,1156
RN7SKP282,298
RNU6-941P,107
RNU6-521P,104
SRIP3,218
GOT2P5,545
ATP5PFP1,619
TRIM60P10Y,1069
ZNF736P2Y,1278
TRIM60P11Y,1141
ZNF736P1Y,1275
ZNF736P5Y,804
BPY2C,31647
TTTY4C,36809
DAZ4,73197
CDY2B,1960
RNU6-1334P,104
SRY,827
TOMM22P2,236
RPS4Y1,90398
NAP1L1P2,2119
ZFY,47225
EEF1A1P41,206
PSMA6P1,740
SFPQP1,12015
DPPA2P1,555
DDX3Y,16370
SERTAD4-AS1,2760
CASKP1,18017
SERTAD4,13835
UTY,246096
ST13P19,1605
HHAT,348044
RNU5A-8P,113
BPNT2P1,667
TMSB4Y,2125
VCY,701
DAZ3,50423
DAZ1,69655
SNORA70,117
AMELY,45834
TBL1Y,191284
H3-4,515
RPL23AP15,458
H2AC25,23096
H2BC26,5001
MIR4666A,78
H2BC27P,381
RNF187,12517
DAZ2,71909
RNA5S1,118
RNA5S2,118
RNA5S3,118
RNA5S16,118
RNA5S17,118
RNA5SP18,120
DUSP5P1,1138
FTH1P2,411
RHOU,11185
BTNL10P,1880
AGKP1,1262
NLGN4Y-AS1,10391
RBMY1E,14424
NLGN4Y,323081
CDY22P,1553
ELOCP17,325
OFD1P18Y,26722
TRAPPC2P4,2732
RAB9AP3,572
USP9YP20,6438
RNU1-40P,163
USP9YP21,2048
XKRYP6,10884
PRYP4,12520
ELOCP11,331
CDY23P,1013
USP9YP26,6602
HSFY8P,802
RNU6-1314P,103
CYCSP48,619
VCY1B,731
PNPLA4P1,5525
TBL1YP1,15646
RPS4Y2,24924
HSFY4P,3033
GAPDHP17,1000
TMEM167AP1,218
TOMM22P1,311
NEFLP1,983
PRORY,3406
TSPY14P,2525
RBMY1HP,8449
TTTY13,39989
HSFY6P,1219
USP9YP18,8356
CDY14P,1013
ELOCP16,331
XKRYP3,10886
USP9YP25,2056
USP9YP29,6435
RNU1-97P,163
RAB9AP1,572
TRAPPC2P9,2745
OFD1P11Y,26918
PRYP3,12520
RNU2-57P,190
VDAC1P6,854
EIF4A1P2,1219
KRT18P10,1286
SNX3P1Y,175
RPL26P37,437
PCDH11Y,741998
ELOCP9,238
CDY15P,1569
XKRYP4,482
USP9YP13,1605
USP9YP11,5148
TTTY3B,4895
USP9YP12,6366
RNU1-86P,153
RAB9AP5,3649
TRAPPC2P10,3130
OFD1P12Y,22301
ELOCP10,326
CDY1B,2790
CDY17P,1609
USP9YP35,2013
USP9YP31,8642
CDY18P,1911
RN7SL818P,258
UBE2Q2P4Y,6158
LINC00265-2P,781
CICP2,2803
RBMY2XP,6922
TTTY17B,1131
TRIM60P5Y,874
ZNF736P12Y,1242
TTTY4B,36823
BPY2B,31647
ZNF736P4Y,1242
RBMY2YP,6947
CICP1,2819
LINC00265-3P,902
UBE2Q2P5Y,6159
GOLGA2P3Y,6011
RN7SL725P,258
CDY19P,1911
USP9YP36,8654
USP9YP33,2022
CDY20P,1609
ELOCP34,326
OFD1P13Y,22286
TRAPPC2P5,3111
RAB9AP2,3649
USP9YP30,1170
RNU1-107P,153
TTTY3,4898
USP9YP9,5149
USP9YP19,1610
XKRYP5,482
CYCSP49,318
SLC25A15P1,4959
PARP4P1,39801
CCNQP2,639
CDY1,2785
RBMY1J,14471
RBMY1B,14448
RBMY1A1,14447
RFTN1P1,63722
RBMY2FP,7376
RBMY2BP,9633
TTTY11,34153
ARSLP1,7674
OFD1P6Y,64056
TTTY9A,9315
XKRY,1580
XKRYP7,1580
HSFY3P,1969
TAB3P1,8283
ANOS2P,164168
RBMY2EP,6594
GOLGA2P2Y,4864
TXLNGY,38961
GYG2P1,13526
FAM197Y6,7905
TSPY3,2802
RBMY2CP,9634
RBMY2DP,9634
ZNF736P9Y,1827
PRKY,107576
BCORP1,111849
FAM197Y5,1991
TSPY1,2794
FAM197Y3,1988
TSPY10,2802
FAM197Y1,2230
TTTY22,49523
TSPY18P,1117
RBMY2OP,7870
RBMY2QP,11698
TSPY20P,2180
TSPY5P,2564
RNA5SP518,118
RNA5SP519,118
DUX4L31,1135
PCMTD1P1,354
CDC27P2,1921
RNA5-8SP6,151
DLGAP5P1,463
TTTY23B,1988
TSPY2,2796
FAM197Y9,1993
TSPY19P,1117
LINC00280,12702
TSPY17P,466
TTTY23,4821
FAM224B,27875
LEUTX,9696
TTTY2B,56032
DYRK1B,8851
TTTY1B,21174
TTTY7,17040
TTTY8B,11303
TTTY10,110603
TTTY16,115598
MIR6719,86
TTTY12,10688
FBL,11921
TTTY2,41499
TTTY7B,17040
ZFY-AS1,35989
TTTY6,14879
TTTY17C,31586
TTTY6B,14887
SEPTIN14P23,17162
FAM224A,27163
PRR13P5,441
PSMC4,10599
ZNF546,36904
ZNF780B,27971
FAM41AY2,16203
ZNF780A,21791
LINC00278,197622
TTTY1,21173
FCGBP,71303
LINC00279,163331
TTTY18,28317
TTTY8,10656
HSFY7P,802
RBMY2AP,9629
STSP1,46115
RBMY2JP,17073
HSFY5P,793
XGY1,67323
RBMY2WP,6936
USP9YP28,6311
TTTY14,304849
PRYP1,15068
OFD1P1Y,15522
PRYP2,15118
USP9YP14,6313
RNASEH2CP1,501
XGY2,102558
PPP1R12BP2,13213
REREP1Y,9815
GPR143YP,5769
OFD1P15Y,32714
REREP2Y,9817
PPP1R12BP1,76495
ANKRD36P1,10720
OFD1P2Y,15521
FRG2,2890
FRG1,22347
OFD1P5Y,47014
TTTY9B,16905
RBMY2TP,6548
OFD1P10Y,33045
GOLGA6L11P,6307
MLLT10P2,248
TUBB7P,2348
RNA5SP174,117
RNA5SP175,118
DUX4L9,1258
RARRES2P4,483
DNM1P24,4189
CSPG4P2Y,3797
CSPG4P3Y,5361
SEPTIN14P22,168
CSPG4P4Y,5361
CSPG4P1Y,3797
DNM1P48,682
GOLGA6L16P,6307
RPL23AP84,463
DUX4L8,1274
DUX4,12168
TPTE2P4,71477
TSPY7P,2749
TSPY6P,2579
TSPY15P,2573
RBMY2NP,15278
TSPY13P,2544
TSPY11P,2682
RBMY2GP,15271
LINC02688,15118
MUC5AC,43185
MUC2,35636
ZSWIM4,36811
RN7SL619P,257
MIR23AHG,19048
MIR24-2,72
MIR27A,77
MIR23A,72
NANOS3,18694
MIR181C,109
MIR181D,136
BRME1,24104
CC2D1A,24678
PODNL1,22205
DCAF15,8940
RFX1,45509
RLN3,3403
IL27RA,21456
PALM3,8713
EEF1DP1,895
MISP3,2526
MIR1199,118
C19orf67,4251
PRKACA,26396
ASF1B,17101
ADGRL1-AS1,34182
ADGRL1,58444
RN7SL231P,271
SAMD1,3185
OBP2B,3973
LCN1P1,3686
LCN1P2,675
SURF6,7412
CNTNAP3C,122313
RN7SL462P,260
MED22,9819
RPL21P81,475
RPL7A,3208
SNORD24,74
SNORD36B,73
RNU1-62P,163
SNORD36A,72
MTCO3P47,165
SNORD36C,65
SURF1,4918
RNA5SP136,106
RYBP,74796
SURF2,4608
SURF4,14716
MIPEP,159211
STKLD1,29730
LSP1P1,132
ZNF962P,18276
RPL17P51,237
HSPD1P9,1635
C1QTNF9-AS1,5873
MTCO3P2,170
RPS20P32,355
FABP3P2,398
REXO4,12037
MTUS2-AS1,13590
KPNA3,93362
HMX1,25763
CRYL1,122207
ADAMTS13,45044
LINC00562,2469
RPS21P8,246
CAB39L,135414
CHCHD2P11,456
TIMM9P3,273
LINC00457,205353
RAD17P2,2715
DNAJC15,91010
GPR12,5586
MTUS2-AS2,11175
ZNF646P1,994
RPP40P2,711
GAMTP2,462
WASF3,131265
POSTN,36261
RNU6-409P,103
ACR,7143
SNRPA1P2,759
SHANK3,58804
CACFD1,10883
SLC2A6,8033
GNG5P5,219
FNDC3A,233867
ABO,42746
FHP1,702
FREM2-AS1,5772
LHFPL6,394412
POLR3KP1,341
SLC25A5P4,1170
SPATA13-AS1,1690
PRR20FP,179
GCGR,9876
DNAJA1P1,1186
ELL2P3,1601
AKAP11,51109
MZT1,19262
CYCSP41,295
LINC00374,21420
PROSER1,28224
OR4K11P,975
CTBP2P10,1184
RBPMSLP,1076
SREK1IP1P1,441
MIR548XHG,199055
MCRIP1,10941
FDPSP6,511
NEK4P1,878
PPIAP22,497
SLC6A6P1,1849
CTBP2P9,1184
CHODL-AS1,50592
RPL37P21,275
ERICH6B,81217
TUBAP1,1470
TMPRSS15,216763
LINC00547,16596
RPL13AP25,611
MARK2P12,584
PIBF1,234328
PPP1R27,1558
VN1R7P,1220
ZNF299P,1803
SNX19P1,2980
SLC25A15P4,924
GPX1P2,605
CXADR,80536
FABP5P1,410
BORA,28449
IGHV1OR21-1,435
KLHL1,407899
HSPD1P7,1992
MSANTD2P1,1851
C1QBPP1,769
RPL10P1,643
LINC00317,14026
LINC01689,16831
KRT18P2,1257
LINC01442,28974
NAP1L4P3,1146
HNF4GP1,1248
RPL12P34,478
HMGN2P39,272
PLA2G12AP2,263
URB1,81994
ZDHHC20P4,1006
LINC01300,4118
GPR20,10816
ASTILCS,2688
SCEL,109589
PTP4A3,40459
HNRNPA1P38,956
C8orf90,4099
MROH5,73401
KRTAP25-1,369
RPSAP68,437
JAM2,78304
COX4I1P2,546
EEF1A1P1,738
COLEC12,183985
FGFR1OP2P1,499
NPM1P22,951
NIPA2P5,3336
RPL31P53,347
RPL18AP17,197
SPATA2P1,2569
HSPD1P8,1977
RPL8P2,501
RPL21P111,476
MTCL1P1,791
CLDN17,1240
FREM2,200054
BTF3L4P1,467
RPL37P3,292
THUMPD1P1,1918
PPIAP1,495
LLPHP2,395
KRTAP24-1,1641
NCSTNP1,143
LINC01892,17609
RPS3AP1,319
SCAF4,61118
LINC01928,11518
SLC25A3P3,1206
CTAGE11P,2352
PRR20B,3021
HNRNPA1P18,1697
TBC1D4,198666
IMPA2,49852
EI24P3,1061
VDAC1P12,881
RPS3AP52,296
CTAGE16P,2411
LINC00333,872
PRR20D,3021
ZKSCAN7,38980
SPRY2,5150
COP1P1,2175
PRR20E,3021
RAB31,154276
UFM1,13770
MTND4P1,1465
MTCO2P3,420
OR7E111P,1013
ZNF415P1,2697
KLF5,22565
COX6CP3,222
EIF4A1P1,933
YES1,90958
LINC00307,2632
NCAM2,544920
TNK1,9240
RPL31P54,369
CBY2,12239
ZKSCAN7-AS1,132528
UBE2D3P4,435
WASF3-AS1,35249
ZNF660,21471
RPS4XP18,762
PPIAP57,247
RNGTTP1,727
LINC00377,26515
OR4K12P,944
BCAS2P3,766
MPRIPP1,1088
BOD1P2,480
RABEPKP1,1025
UBAC2,185730
RPSAP64,335
TPT1P1,517
ZNF197,63583
LINC01423,9786
PLSCR3,5115
LINC01543,16902
CLDN8,2091
LINC02943,592
HUNK-AS1,816
NDUFV2,31715
HUNK,171613
RFC3,148489
EIF3FP1,805
ZNF197-AS1,7669
C21orf91,30412
ZNF35,12059
MPPE1,25744
LINC00308,7077
ANKRD26P2,13472
POU4F1,5190
SNX18P12,758
SOCS5P3,1575
MORC3,65959
ZNF502,11188
PSMD10P3,447
TMEM256-PLSCR3,14363
SPATA13,55217
TMEM256,1122
NLGN2,14986
ZNF501,7487
KIAA1143,23958
SPEM1,1308
SPEM2,1952
KIF15,111655
SPEM3,3963
TMEM102,2244
FGF11,6664
PAXBP1,2044
CHRNB1,12649
NHLRC3,11803
OLFM4,23244
ARF4P3,508
CCT5P2,1623
PRR20A,3021
ZBTB4,24897
LINC01078,1532
SLC35G6,2050
IPO5,70638
POLR2A,30250
CELF4,322787
NIPA2P3,850
EPCIP,20164
RPL23AP12,472
MIR564,93
TMEM42,3766
TGM4,40382
ITSN1,257461
ZNF852,18870
RNU6-1004P,110
ORAI1,16709
SNRPFP3,224
DIAPH3,498345
AKAIN1,54592
SLC14A2,470693
RALBP1,63105
BRD7P1,1914
RN7SKP205,306
SS18,74964
LINC00596,12321
DHRS4-AS1,137642
RPSAP28,873
ALMS1-IT1,2718
NAT8,1699
TPRKB,8296
RPL30P4,332
CNOT10-AS1,6819
SUGT1P2,991
RPL23AP43,470
TRIM71,79827
DHRS4L1,44396
DUSP11,18391
CNOT10,88730
CARMIL3,17720
C2orf78,32965
NAT8B,764
ALMS1P1,80629
SRSF1P1,519
RPS26P47,347
PCDH17,97567
SP3P,2064
RPL21P110,445
LINC00440,98916
RPS12P24,386
HIGD1AP2,279
HNRNPA1P31,969
SERTM1,23819
ELOCP23,331
MTND5P3,2190
SLC7A1,86274
CPNE6,7263
SLC15A1,68871
KPNA7,76503
TPMTP1,736
RPS8P3,621
NPM1P1,233
ANKRD12,149757
VENTXP2,480
ATP6V1G1P7,348
FOXO1,110974
ARF4P4,519
COG3,71803
NRL,36348
RPL21P63,478
ARK2N,93439
GCNT2P1,933
C6orf52,23379
PCK2,16545
ZBTB7C-AS1,22686
PAK1IP1,14810
SKA1,19178
LINC01309,7473
SRGNP1,450
GAPDHP34,822
LRCH1,199872
TMEM14C,8214
MTCO2P2,224
GCNT2,137145
SINHCAFP1,657
RPS24P18,387
MAP1LC3P,329
RPRD1A,83189
SCEL-AS1,6796
COX5BP6,554
NXT1P1,315
FTLP8,266
CDADC1,45560
RIT2,372464
ZDHHC4P1,1034
DDX6P2,1769
DIS3,29927
CTAGE1,4316
POLR3GP2,667
HRH4,19324
DCAF11,11047
L3MBTL4-AS1,4187
MAPK4,681
ATP7BP1,465
ARK2C,136331
LINC02783,8587
PADI1,40879
RPSAP57,831
ZBTB7C-AS2,536
ST8SIA3,19174
LINC00351,180969
RNF152,86180
LINC00383,100324
LINC00353,5113
PEX12P1,1047
PRR20C,16164
CCDC68,57952
PADI3,35135
TCEAL4P1,587
GAPDHP69,1007
NUS1P4,584
SLITRK6,13893
RPL27AP8,445
CYCSP35,303
NUS1P3,861
ZMYM5,40167
RPLP0P11,908
MIR3972,86
PADI4,55809
SMAD2,122189
NALF1-IT1,47109
SOX1,4557
CALM2P4,425
MYO16,611853
PADI6,29503
DPPA2P2,896
RCC2-AS1,622
RPS6KA1,45269
RCC2,32917
RPL7AP61,635
DPPA3P3,429
AKR1B1P4,921
IRS2,33888
SPACA7,58370
RAB27B,177656
GYG1P2,1005
RIOK3P1,1527
STOML3,24934
LINC01043,8271
TXNL1,54391
ANKRD10,36529
FITM1,2190
LINC01044,8652
SSR1P2,786
PSME1,2804
RPL7L1P1,784
NALF1,703986
RPL7P45,742
MRPS5P4,324
PCCA,441422
CTIF,328437
MIR1976,51
RN7SL679P,303
RNU7-29P,63
ARIH2P1,1476
GAREM1,346005
HMGN1P31,303
RPL7AP66,800
RPIAP1,741
ZBTB7C,384080
TUBGCP3,19705
EMC9,2632
TRIM51FP,6180
GRM5P1,252110
PSME2,4208
BOD1L2,3323
FBXO15,74490
WDR7-OT1,11013
OBI1,44866
TRIM60P13,1282
AZU1P1,384
CDH7,140085
BNIP3P7,515
UBL3,86246
MOB1AP1,534
LINC01040,22901
TIMM8BP1,210
MLNR,2039
FLT3,97318
ATP5PO,12361
TPGS2,51569
FAM216B,9999
GRPEL2P1,338
LINC01700,3345
FDX1P2,374
CHODL,366110
KMT5AP1,1179
MIR4499,68
MIR2276,88
RNU5A-4P,110
RNA5SP26,118
RNU6-56P,92
RN7SKP1,306
SNORD116,91
RNY3P9,105
RN7SKP2,318
RNA5SP27,118
RN7SL700P,293
RNU6-60P,102
RNY3P2,101
RN7SL618P,295
MIR5007,94
RN7SKP6,318
RNA5SP30,114
RNY4P29,96
MIR3169,82
RNU7-88P,62
RNY3P5,101
RN7SL375P,297
RN7SL761P,277
RNU6-80P,106
RNY1P8,113
RNU4-10P,139
RNU6-66P,103
RNU6-79P,106
RNY3P10,101
RN7SL571P,294
RNA5SP33,97
RNU6-61P,108
RNU6-54P,106
RNY3P7,100
RNU6-77P,90
RNY3P3,101
RNU6-38P,106
RNU6-67P,96
RN7SL60P,298
SNORD31B,68
MIR1267,77
RNA5SP38,118
NME1P1,381
MTND3P1,219
FTH1P7,551
DDX39AP1,1467
SNORD36,79
IPMKP1,854
RFESDP1,460
BASP1P1,664
HMGA1P6,390
RNY3P4,100
RNU6-58P,102
TATDN2P3,3664
SDAD1P4,1644
MIR7703,76
RPLP1P13,638
LINC00327,21936
BACH1,436680
RNF31,13977
LINC00352,4078
ITM2B,37745
MC4R,1713
LINC01903,6317
TMX3,41420
SPATA20P1,437
PPP1R26P1,3612
PCNPP5,480
PSMA6P3,163
TRIM13,24593
ETS2,19772
MIR3613,86
KCNRG,5668
MIR16-1,88
MIR15A,82
RPL18P10,537
ST13P4,1092
RPL34P26,353
RPL31P9,140
RNA5SP28,118
LINC03111,36162
RNA5SP29,105
RPL5P31,634
PRELID3BP2,200
CTBP2P3,1254
MIR5693,72
FAM124A,61905
DHFRP1,558
RNA5SP266,107
BDP1P,1989
CDH20,222349
IPO7P2,1749
ZAR1L,11664
IFIT1P1,1448
N4BP2L1,27588
MTL3P,153
RPL30P14,347
PTPN2,144165
KCNJ15,151808
ATP8A2P2,1567
NDE1P2,1104
SMAD9-IT1,680
LAMTOR3P1,369
RPL29P28,781
EIF4A1P5,1094
CSNK1A1L,2405
TMEM272,31830
CTAGE3P,2403
RFXAP,9882
TRPC4,237739
RNA5SP383,119
MAPK6P2,2059
IRF9,6809
ZNF355P,18485
CRYZL1,54585
SINHCAFP2,663
RPS3AP49,789
PHLPP1,264892
CDH19,103055
REC8,8404
LINC02565,1579
RAC1P1,579
RN7SL288P,290
RPS2P6,894
RN7SKP5,271
ITGA9,371392
ABITRAMP1,540
RNU2-6P,189
RNU6-68P,103
PPP1R2P4,594
OR7E101P,512
C18orf21,6661
COX17P1,191
FKBP1AP3,318
RPL21P135,790
NDUFAF4P3,524
RNU7-73P,62
CPB2,51847
ITGA9-AS1,168193
BNIP3P43,563
N6AMT1,13180
KCTD1,202491
LCP1,85951
ST13P5,1109
SAA1,3717
ANKRD30BP1,43524
VN1R8P,892
GTF2IP2,45803
IPO4,8650
SLC39A6,20854
ADAMTS5,49166
RNA5SP334,117
HPS5,43530
SNRPGP13,176
MIR6724-2,91
MIR6724-3,91
RNA5-8SN3,152
NRBF2P1,858
AIDAP3,1367
MIR6724-4,91
RNA5-8SN1,152
MIR6724-1,91
ZBTB14,8034
MIR3648-1,179
SIAH3,74511
RNA5-8SN2,152
MIR3118-1,75
RNU6-286P,106
RN7SL52P,283
RNU6-113P,100
NALCN,362732
RN7SKP147,243
RNU6-772P,104
RNU2-55P,173
RNU1-139P,164
RNU4-45P,140
MIR3156-3,76
RN7SKP236,283
RN7SL163P,275
MIR155,64
MIR6130,108
RNA5SP489,108
MIR4759,82
MIR548X,74
RNU6-614P,106
NPM1P2,1035
RN7SL740P,343
SNORA62,153
SNORA80A,135
GALR1,28052
C2CD2,68906
ZNF521,290266
LINC02974,3689
ADRA1D,28657
SCML2P1,1266
AKR1B10P2,926
PLEKHB2P1,1104
IMPACT,26897
RSPO4,43859
DEFB129,2628
ANGPT4,46434
ZBTB21,23556
GTF2H1,44750
DYNLT3P1,346
SDHCP1,511
SHLD1,114002
CBLN2,101841
UMODL1-AS1,6400
LINC00555,441
CCDC168,29705
RPL34P3,337
TEX30,7923
EZH2P1,290
MIR802,93
RPS20P1,353
PPP1R2P2,612
SLX4IP,201524
RPL23AP3,467
RIMKLBP1,1163
RNU6-992P,107
CBR1,3225
EEF1A1P34,1266
DEFB125,9844
KRT8P5,1457
SRSF10P2,524
LINC01898,16807
BIVM-ERCC5,76884
BMP2,12560
RPS9P1,582
CBR3,11483
MIR3649,65
ADIPOR2,100100
FAM110A,23748
RPL3P1,1210
MBP,154856
EVA1C,103391
BIVM,42414
INSM1,2845
LIN28AP3,612
DEFB128,1858
RPS4XP14,780
CACNA2D4,126703
DEFB126,3161
LINC03086,5934
BTBD3,35886
MIR3159,73
LDHA,13865
GAS6,43527
NUDT15,9495
EXOSC3P1,499
RNA5SP490,135
CFAP298,20524
MED4,41808
RPL7P2,267
EIF4E2P1,254
PCSK2,258471
POLR2KP2,176
PSME2P2,699
